cluster	Spannungsebene_Category	Spannungsebene_Category
672	Höchstspannung	7
673	Mittelspannung	4
674	Mittelspannung	6
675	Hochspannung	7
676	Hochspannung	16
676	Mittelspannung	1
677	Hochspannung	7
678	Hochspannung	7
679	Hochspannung	5
680	Hochspannung	32
680	Mittelspannung	2
681	Mittelspannung	10
682	Hochspannung	12
683	Mittelspannung	5
684	Mittelspannung	12
684	Umspannebene Hochspannung/Mittelspannung	1
685	Hochspannung	8
686	Hochspannung	7
686	Mittelspannung	1
687	Hochspannung	4
687	Mittelspannung	4
688	Mittelspannung	8
689	Mittelspannung	9
690	Hochspannung	21
690	Mittelspannung	19
691	Hochspannung	23
691	Mittelspannung	3
692	Mittelspannung	9
692	Hochspannung	5
693	Umspannebene Hochspannung/Mittelspannung	5
693	Mittelspannung	4
694	Hochspannung	18
695	Hochspannung	38
695	Mittelspannung	5
696	Mittelspannung	11
697	Mittelspannung	5
697	Umspannebene Hochspannung/Mittelspannung	2
697	Umspannebene Mittelspannung/Niederspannung	1
698	Mittelspannung	9
698	Hochspannung	5
699	Mittelspannung	12
699	Hochspannung	3
700	Hochspannung	14
700	Mittelspannung	9
701	Mittelspannung	17
701	Hochspannung	4
702	Mittelspannung	25
702	Hochspannung	10
703	Umspannebene Hochspannung/Mittelspannung	14
703	Mittelspannung	5
704	Mittelspannung	7
705	Mittelspannung	6
706	Mittelspannung	9
707	Mittelspannung	6
707	Hochspannung	2
708	Hochspannung	24
708	Mittelspannung	8
708	Umspannebene Hochspannung/Mittelspannung	2
709	Hochspannung	10
710	Hochspannung	19
710	Mittelspannung	10
710	Umspannebene Hochspannung/Mittelspannung	1
711	Mittelspannung	17
712	Hochspannung	5
712	Mittelspannung	3
713	Mittelspannung	15
714	Mittelspannung	5
715	Hochspannung	21
715	Mittelspannung	5
716	Mittelspannung	11
717	Hochspannung	29
717	Mittelspannung	12
718	Hochspannung	3
718	Mittelspannung	2
718	Umspannebene Hochspannung/Mittelspannung	2
719	Hochspannung	9
719	Mittelspannung	2
719	Umspannebene Hochspannung/Mittelspannung	1
720	Hochspannung	31
720	Mittelspannung	5
721	Mittelspannung	4
722	Hochspannung	6
723	Mittelspannung	6
723	Umspannebene Hochspannung/Mittelspannung	5
723	Hochspannung	3
724	Mittelspannung	10
724	Hochspannung	5
725	Umspannebene Hochspannung/Mittelspannung	7
725	Mittelspannung	2
726	Umspannebene Hochspannung/Mittelspannung	5
726	Mittelspannung	1
727	Mittelspannung	7
728	Hochspannung	10
728	Mittelspannung	1
729	Hochspannung	1
729	Mittelspannung	1
729	Niederspannung	1
730	Umspannebene Hochspannung/Mittelspannung	7
730	Hochspannung	1
731	Mittelspannung	4
731	Höchstspannung	3
731	Hochspannung	1
732	Höchstspannung	22
733	Hochspannung	30
733	Mittelspannung	7
734	Hochspannung	5
734	Umspannebene Hochspannung/Mittelspannung	5
735	Mittelspannung	15
736	Umspannebene Hochspannung/Mittelspannung	5
736	Mittelspannung	2
737	Mittelspannung	6
738	Hochspannung	6
738	Höchstspannung	6
738	Umspannebene Hochspannung/Mittelspannung	2
738	Mittelspannung	1
739	Höchstspannung	55
740	Hochspannung	26
740	Mittelspannung	2
741	Hochspannung	14
741	Mittelspannung	4
742	Mittelspannung	8
743	Umspannebene Hochspannung/Mittelspannung	5
743	Mittelspannung	4
743	Hochspannung	3
744	Hochspannung	34
744	Mittelspannung	6
745	Umspannebene Hochspannung/Mittelspannung	4
745	Mittelspannung	1
746	Mittelspannung	6
747	Mittelspannung	11
748	Hochspannung	13
748	Mittelspannung	3
749	Mittelspannung	5
750	Mittelspannung	9
751	Mittelspannung	24
752	Hochspannung	24
753	Hochspannung	6
754	Hochspannung	15
754	Mittelspannung	14
755	Umspannebene Hochspannung/Mittelspannung	3
755	Mittelspannung	2
756	Hochspannung	21
756	Mittelspannung	2
756	Umspannebene Hochspannung/Mittelspannung	1
757	Hochspannung	71
757	Mittelspannung	2
758	Hochspannung	5
759	Hochspannung	11
760	Hochspannung	25
761	Hochspannung	32
762	Mittelspannung	6
763	Mittelspannung	24
764	Hochspannung	6
764	Mittelspannung	1
765	Hochspannung	8
766	Hochspannung	10
766	Mittelspannung	7
766	Höchstspannung	5
766	Umspannebene Hochspannung/Mittelspannung	5
767	Mittelspannung	3
768	Höchstspannung	18
768	Hochspannung	3
768	Mittelspannung	2
769	Hochspannung	14
769	Mittelspannung	1
770	Hochspannung	11
770	Mittelspannung	6
771	Mittelspannung	6
772	Mittelspannung	5
773	Umspannebene Hochspannung/Mittelspannung	6
773	Mittelspannung	3
774	Hochspannung	93
774	Umspannebene Hochspannung/Mittelspannung	12
774	Mittelspannung	10
775	Umspannebene Hochspannung/Mittelspannung	5
775	Hochspannung	4
775	Mittelspannung	4
776	Hochspannung	8
777	Hochspannung	5
778	Hochspannung	51
778	Höchstspannung	42
778	Mittelspannung	19
778	Umspannebene Hochspannung/Mittelspannung	5
779	Mittelspannung	7
779	Hochspannung	1
780	Umspannebene Hochspannung/Mittelspannung	8
780	Mittelspannung	4
781	Mittelspannung	6
781	Umspannebene Hochspannung/Mittelspannung	1
782	Umspannebene Hochspannung/Mittelspannung	5
782	Mittelspannung	1
783	Umspannebene Hochspannung/Mittelspannung	8
783	Mittelspannung	2
784	Hochspannung	12
784	Mittelspannung	3
785	Mittelspannung	7
786	Mittelspannung	11
787	Mittelspannung	6
788	Hochspannung	4
789	Hochspannung	5
789	Mittelspannung	4
790	Umspannebene Hochspannung/Mittelspannung	7
791	Mittelspannung	5
792	Mittelspannung	5
793	Mittelspannung	11
794	Mittelspannung	6
795	Mittelspannung	5
796	Mittelspannung	5
797	Niederspannung	4
797	Mittelspannung	3
798	Mittelspannung	9
798	Umspannebene Hochspannung/Mittelspannung	2
799	Umspannebene Hochspannung/Mittelspannung	4
799	Mittelspannung	1
800	Mittelspannung	5
801	Hochspannung	22
801	Umspannebene Hochspannung/Mittelspannung	8
802	Mittelspannung	4
803	Hochspannung	7
804	Hochspannung	14
805	Hochspannung	8
805	Mittelspannung	2
806	Hochspannung	32
806	Mittelspannung	1
807	Hochspannung	11
808	Hochspannung	7
808	Umspannebene Hochspannung/Mittelspannung	2
809	Umspannebene Hochspannung/Mittelspannung	12
809	Hochspannung	3
810	Hochspannung	9
811	Umspannebene Hochspannung/Mittelspannung	3
811	Mittelspannung	1
812	Mittelspannung	6
812	Umspannebene Hochspannung/Mittelspannung	3
813	Mittelspannung	18
814	Mittelspannung	12
814	Umspannebene Hochspannung/Mittelspannung	5
815	Mittelspannung	6
816	Umspannebene Hochspannung/Mittelspannung	9
817	Hochspannung	5
818	Umspannebene Hochspannung/Mittelspannung	8
818	Hochspannung	3
819	Hochspannung	4
819	Mittelspannung	1
819	Umspannebene Hochspannung/Mittelspannung	1
820	Mittelspannung	6
820	Umspannebene Hochspannung/Mittelspannung	5
821	Mittelspannung	11
822	Hochspannung	6
822	Mittelspannung	1
823	Umspannebene Hochspannung/Mittelspannung	4
823	Mittelspannung	1
824	Hochspannung	5
824	Mittelspannung	2
825	Mittelspannung	7
826	Mittelspannung	5
827	Hochspannung	14
828	Mittelspannung	6
828	Niederspannung	1
829	Mittelspannung	6
830	Mittelspannung	5
831	Hochspannung	5
832	Mittelspannung	6
833	Mittelspannung	4
834	Hochspannung	9
834	Mittelspannung	8
834	Umspannebene Hochspannung/Mittelspannung	4
835	Hochspannung	12
835	Mittelspannung	1
836	Hochspannung	18
836	Mittelspannung	1
836	Umspannebene Mittelspannung/Niederspannung	1
837	Mittelspannung	7
838	Mittelspannung	4
838	Niederspannung	1
839	Mittelspannung	6
840	Hochspannung	4
840	Mittelspannung	4
841	Mittelspannung	7
842	Hochspannung	11
842	Mittelspannung	1
843	Mittelspannung	8
844	Hochspannung	4
844	Umspannebene Hochspannung/Mittelspannung	4
845	Umspannebene Hochspannung/Mittelspannung	7
846	Mittelspannung	8
846	Umspannebene Hochspannung/Mittelspannung	5
846	Hochspannung	3
847	Mittelspannung	6
847	Umspannebene Hochspannung/Mittelspannung	5
848	Mittelspannung	5
849	Mittelspannung	5
850	Umspannebene Hochspannung/Mittelspannung	5
851	Hochspannung	9
851	Mittelspannung	8
852	Mittelspannung	4
853	Mittelspannung	8
853	Niederspannung	2
854	Mittelspannung	9
855	Hochspannung	18
856	Hochspannung	9
857	Mittelspannung	4
858	Mittelspannung	6
859	Hochspannung	4
860	Hochspannung	12
860	Umspannebene Hochspannung/Mittelspannung	1
861	Hochspannung	5
861	Umspannebene Hochspannung/Mittelspannung	4
862	Hochspannung	10
862	Mittelspannung	2
863	Hochspannung	4
863	Niederspannung	1
864	Hochspannung	3
864	Mittelspannung	2
865	Mittelspannung	11
866	Hochspannung	7
867	Hochspannung	10
868	Mittelspannung	3
868	Umspannebene Hochspannung/Mittelspannung	3
868	Niederspannung	1
869	Mittelspannung	2
869	Hochspannung	1
870	Hochspannung	10
870	Mittelspannung	2
871	Mittelspannung	14
872	Umspannebene Hochspannung/Mittelspannung	5
872	Mittelspannung	2
873	Mittelspannung	4
874	Mittelspannung	16
875	Mittelspannung	7
876	Mittelspannung	8
877	Mittelspannung	4
878	Umspannebene Hochspannung/Mittelspannung	7
878	Hochspannung	2
878	Mittelspannung	1
879	Hochspannung	16
879	Umspannebene Hochspannung/Mittelspannung	13
880	Mittelspannung	4
880	Umspannebene Hochspannung/Mittelspannung	4
880	Hochspannung	2
881	Hochspannung	4
882	Mittelspannung	4
882	Umspannebene Hochspannung/Mittelspannung	1
883	Umspannebene Hochspannung/Mittelspannung	6
884	Hochspannung	7
884	Mittelspannung	2
885	Mittelspannung	4
886	Hochspannung	7
887	Umspannebene Hochspannung/Mittelspannung	7
887	Mittelspannung	1
888	Mittelspannung	5
888	Niederspannung	1
889	Mittelspannung	5
890	Mittelspannung	6
891	Mittelspannung	3
891	Umspannebene Hochspannung/Mittelspannung	3
892	Mittelspannung	15
893	Mittelspannung	9
894	Umspannebene Hochspannung/Mittelspannung	4
894	Hochspannung	2
895	Mittelspannung	8
896	Mittelspannung	13
897	Mittelspannung	5
897	Umspannebene Hochspannung/Mittelspannung	1
898	Mittelspannung	7
899	Hochspannung	17
899	Mittelspannung	3
900	Mittelspannung	10
901	Mittelspannung	15
901	Umspannebene Mittelspannung/Niederspannung	1
902	Mittelspannung	4
902	Hochspannung	2
902	Umspannebene Hochspannung/Mittelspannung	2
903	Mittelspannung	12
904	Hochspannung	10
904	Mittelspannung	4
905	Umspannebene Hochspannung/Mittelspannung	8
905	Mittelspannung	5
905	Hochspannung	2
906	Umspannebene Hochspannung/Mittelspannung	18
906	Mittelspannung	1
907	Hochspannung	9
908	Hochspannung	21
909	Umspannebene Hochspannung/Mittelspannung	12
910	Hochspannung	11
910	Umspannebene Hochspannung/Mittelspannung	9
911	Hochspannung	11
911	Mittelspannung	2
912	Hochspannung	18
912	Umspannebene Hochspannung/Mittelspannung	15
913	Mittelspannung	6
914	Mittelspannung	20
915	Hochspannung	4
915	Mittelspannung	2
916	Hochspannung	10
916	Umspannebene Hochspannung/Mittelspannung	4
917	Umspannebene Hochspannung/Mittelspannung	9
917	Hochspannung	6
917	Mittelspannung	1
918	Umspannebene Hochspannung/Mittelspannung	19
918	Mittelspannung	7
919	Umspannebene Hochspannung/Mittelspannung	9
919	Mittelspannung	6
920	Umspannebene Hochspannung/Mittelspannung	8
920	Mittelspannung	3
921	Mittelspannung	11
922	Mittelspannung	5
923	Mittelspannung	5
924	Mittelspannung	8
924	Umspannebene Hochspannung/Mittelspannung	6
925	Hochspannung	13
925	Mittelspannung	2
926	Mittelspannung	9
927	Hochspannung	7
927	Mittelspannung	6
928	Mittelspannung	3
928	Umspannebene Hochspannung/Mittelspannung	1
929	Mittelspannung	7
929	Niederspannung	1
930	Hochspannung	19
931	Mittelspannung	14
931	Umspannebene Hochspannung/Mittelspannung	2
932	Umspannebene Hochspannung/Mittelspannung	9
933	Hochspannung	34
933	Mittelspannung	11
934	Mittelspannung	12
935	Mittelspannung	9
935	Umspannebene Hochspannung/Mittelspannung	5
936	Umspannebene Hochspannung/Mittelspannung	7
936	Mittelspannung	5
937	Hochspannung	7
938	Mittelspannung	6
938	Umspannebene Hochspannung/Mittelspannung	4
939	Hochspannung	6
939	Umspannebene Hochspannung/Mittelspannung	6
939	Mittelspannung	1
940	Umspannebene Hochspannung/Mittelspannung	12
941	Hochspannung	12
941	Mittelspannung	9
942	Hochspannung	20
942	Mittelspannung	1
943	Hochspannung	31
944	Hochspannung	21
944	Mittelspannung	4
945	Hochspannung	27
945	Höchstspannung	13
945	Mittelspannung	12
945	Umspannebene Hochspannung/Mittelspannung	6
945	Umspannebene Höchstspannung/Hochspannung	1
946	Hochspannung	22
946	Mittelspannung	11
946	Umspannebene Hochspannung/Mittelspannung	8
947	Hochspannung	17
948	Mittelspannung	6
948	Hochspannung	3
949	Mittelspannung	8
950	Mittelspannung	7
951	Mittelspannung	19
951	Umspannebene Hochspannung/Mittelspannung	3
952	Mittelspannung	12
953	Mittelspannung	5
954	Mittelspannung	35
954	Hochspannung	10
955	Mittelspannung	5
956	Mittelspannung	8
956	Niederspannung	4
957	Mittelspannung	11
958	Mittelspannung	20
958	Umspannebene Hochspannung/Mittelspannung	9
958	Niederspannung	1
959	Hochspannung	15
959	Mittelspannung	4
960	Mittelspannung	7
960	Umspannebene Hochspannung/Mittelspannung	3
961	Mittelspannung	8
962	Mittelspannung	10
963	Mittelspannung	6
964	Mittelspannung	11
965	Mittelspannung	19
966	Mittelspannung	7
967	Umspannebene Hochspannung/Mittelspannung	8
968	Umspannebene Hochspannung/Mittelspannung	6
969	Hochspannung	11
969	Mittelspannung	4
970	Hochspannung	5
970	Mittelspannung	1
971	Umspannebene Hochspannung/Mittelspannung	9
971	Mittelspannung	1
972	Hochspannung	4
973	Hochspannung	9
974	Mittelspannung	4
975	Umspannebene Hochspannung/Mittelspannung	4
975	Mittelspannung	1
976	Hochspannung	21
976	Umspannebene Hochspannung/Mittelspannung	13
976	Mittelspannung	1
977	Hochspannung	12
977	Umspannebene Hochspannung/Mittelspannung	7
977	Mittelspannung	5
978	Umspannebene Hochspannung/Mittelspannung	7
978	Mittelspannung	2
979	Umspannebene Hochspannung/Mittelspannung	7
980	Umspannebene Hochspannung/Mittelspannung	21
980	Mittelspannung	11
981	Umspannebene Hochspannung/Mittelspannung	8
982	Hochspannung	7
983	Mittelspannung	4
984	Hochspannung	6
985	Umspannebene Hochspannung/Mittelspannung	10
985	Mittelspannung	3
986	Mittelspannung	9
986	Umspannebene Hochspannung/Mittelspannung	6
987	Mittelspannung	13
988	Umspannebene Hochspannung/Mittelspannung	5
989	Mittelspannung	4
990	Mittelspannung	23
990	Umspannebene Hochspannung/Mittelspannung	16
991	Mittelspannung	7
992	Mittelspannung	6
993	Mittelspannung	12
994	Hochspannung	8
994	Umspannebene Hochspannung/Mittelspannung	7
995	Hochspannung	25
996	Umspannebene Hochspannung/Mittelspannung	10
997	Hochspannung	15
998	Hochspannung	12
998	Umspannebene Hochspannung/Mittelspannung	8
998	Mittelspannung	4
999	Mittelspannung	5
999	Umspannebene Hochspannung/Mittelspannung	3
1000	Mittelspannung	3
1000	Hochspannung	2
1000	Umspannebene Hochspannung/Mittelspannung	2
1001	Umspannebene Hochspannung/Mittelspannung	7
1001	Mittelspannung	2
1002	Mittelspannung	6
1003	Mittelspannung	25
1003	Hochspannung	14
1004	Hochspannung	6
1004	Mittelspannung	5
1005	Mittelspannung	5
1006	Mittelspannung	13
1007	Mittelspannung	23
1008	Mittelspannung	8
1009	Mittelspannung	4
1010	Mittelspannung	9
1010	Hochspannung	5
1011	Umspannebene Hochspannung/Mittelspannung	3
1011	Mittelspannung	1
1012	Höchstspannung	15
1013	Hochspannung	14
1014	Hochspannung	6
1015	Hochspannung	3
1015	Umspannebene Hochspannung/Mittelspannung	1
1016	Hochspannung	4
1017	Mittelspannung	4
1017	Umspannebene Hochspannung/Mittelspannung	1
1018	Mittelspannung	9
1018	Hochspannung	6
1018	Umspannebene Hochspannung/Mittelspannung	6
1019	Mittelspannung	5
1019	Umspannebene Hochspannung/Mittelspannung	3
1020	Hochspannung	9
1020	Mittelspannung	7
1020	Umspannebene Hochspannung/Mittelspannung	1
1021	Mittelspannung	5
1021	Umspannebene Hochspannung/Mittelspannung	3
1022	Umspannebene Hochspannung/Mittelspannung	5
1022	Mittelspannung	1
1023	Höchstspannung	7
1023	Mittelspannung	5
1024	Hochspannung	5
1024	Mittelspannung	1
1025	Mittelspannung	5
1026	Mittelspannung	8
1027	Mittelspannung	5
1028	Mittelspannung	7
1029	Mittelspannung	5
1029	Umspannebene Hochspannung/Mittelspannung	4
1030	Mittelspannung	6
1031	Mittelspannung	5
1032	Umspannebene Hochspannung/Mittelspannung	3
1032	Mittelspannung	2
1033	Umspannebene Hochspannung/Mittelspannung	5
1033	Mittelspannung	2
1034	Hochspannung	4
1034	Mittelspannung	4
1035	Umspannebene Hochspannung/Mittelspannung	8
1035	Mittelspannung	3
1036	Hochspannung	10
1036	Mittelspannung	1
1037	Hochspannung	28
1037	Mittelspannung	2
1037	Höchstspannung	1
1038	Hochspannung	14
1038	Mittelspannung	4
1039	Mittelspannung	4
1040	Mittelspannung	23
1041	Mittelspannung	12
1042	Höchstspannung	16
1042	Mittelspannung	1
1043	Höchstspannung	8
1043	Mittelspannung	2
1044	Umspannebene Hochspannung/Mittelspannung	6
1044	Mittelspannung	1
1045	Hochspannung	2
1045	Mittelspannung	2
1046	Umspannebene Hochspannung/Mittelspannung	9
1046	Mittelspannung	5
1047	Umspannebene Hochspannung/Mittelspannung	9
1047	Hochspannung	4
1047	Mittelspannung	4
1048	Mittelspannung	7
1049	Mittelspannung	10
1050	Mittelspannung	4
1051	Mittelspannung	8
1052	Mittelspannung	11
1052	Hochspannung	6
1052	Umspannebene Mittelspannung/Niederspannung	1
1053	Mittelspannung	8
1054	Mittelspannung	11
1055	Mittelspannung	35
1056	Mittelspannung	13
1056	Niederspannung	2
1057	Mittelspannung	13
1058	Hochspannung	5
1059	Mittelspannung	4
1060	Mittelspannung	14
1061	Mittelspannung	8
1062	Mittelspannung	6
1063	Mittelspannung	14
1063	Umspannebene Hochspannung/Mittelspannung	3
1064	Mittelspannung	5
1065	Mittelspannung	7
1065	Hochspannung	6
1065	Niederspannung	1
1066	Hochspannung	22
1067	Umspannebene Hochspannung/Mittelspannung	12
1067	Mittelspannung	5
1068	Hochspannung	5
1068	Umspannebene Hochspannung/Mittelspannung	4
1069	Umspannebene Hochspannung/Mittelspannung	4
1069	Mittelspannung	2
1070	Hochspannung	17
1070	Mittelspannung	8
1071	Mittelspannung	4
1072	Mittelspannung	11
1073	Mittelspannung	5
1074	Mittelspannung	4
1075	Mittelspannung	15
1076	Hochspannung	8
1077	Mittelspannung	7
1078	Mittelspannung	21
1079	Mittelspannung	9
1080	Mittelspannung	11
1080	Niederspannung	2
1081	Mittelspannung	9
1082	Mittelspannung	17
1083	Mittelspannung	5
1084	Mittelspannung	6
1085	Hochspannung	4
1086	Hochspannung	12
1086	Mittelspannung	11
1086	Umspannebene Hochspannung/Mittelspannung	2
1087	Mittelspannung	5
1088	Hochspannung	8
1088	Niederspannung	1
1089	Hochspannung	34
1090	Mittelspannung	15
1090	Umspannebene Hochspannung/Mittelspannung	6
1091	Mittelspannung	7
1092	Mittelspannung	22
1093	Mittelspannung	15
1094	Mittelspannung	13
1095	Mittelspannung	4
1095	Umspannebene Hochspannung/Mittelspannung	1
1096	Umspannebene Hochspannung/Mittelspannung	8
1096	Mittelspannung	1
1096	Niederspannung	1
1097	Mittelspannung	18
1098	Mittelspannung	8
1099	Mittelspannung	9
1100	Mittelspannung	4
1101	Mittelspannung	3
1101	Hochspannung	1
1102	Mittelspannung	8
1103	Mittelspannung	5
1104	Mittelspannung	7
1105	Umspannebene Hochspannung/Mittelspannung	4
1105	Mittelspannung	1
1106	Umspannebene Hochspannung/Mittelspannung	6
1106	Mittelspannung	3
1107	Mittelspannung	6
1108	Mittelspannung	4
1109	Hochspannung	12
1109	Mittelspannung	3
1110	Mittelspannung	5
1111	Mittelspannung	9
1112	Mittelspannung	6
1113	Mittelspannung	5
1114	Hochspannung	15
1114	Mittelspannung	7
1115	Hochspannung	4
1116	Hochspannung	3
1116	Mittelspannung	3
1117	Hochspannung	17
1117	Mittelspannung	3
1118	Umspannebene Hochspannung/Mittelspannung	7
1118	Mittelspannung	3
1118	Hochspannung	2
1119	Hochspannung	5
1120	Mittelspannung	5
1121	Mittelspannung	5
1122	Mittelspannung	7
1123	Mittelspannung	5
1124	Mittelspannung	28
1124	Hochspannung	7
1125	Umspannebene Hochspannung/Mittelspannung	5
1126	Mittelspannung	5
1127	Mittelspannung	4
1127	Hochspannung	2
1128	Mittelspannung	4
1129	Mittelspannung	9
1130	Hochspannung	9
1131	Mittelspannung	4
1132	Mittelspannung	4
1133	Mittelspannung	5
1134	Hochspannung	6
1134	Umspannebene Hochspannung/Mittelspannung	3
1135	Umspannebene Hochspannung/Mittelspannung	10
1135	Mittelspannung	3
1135	Niederspannung	3
1136	Hochspannung	6
1136	Umspannebene Hochspannung/Mittelspannung	4
1136	Mittelspannung	1
1137	Hochspannung	7
1138	Mittelspannung	7
1139	Mittelspannung	4
1140	Mittelspannung	7
1141	Hochspannung	9
1141	Mittelspannung	4
1142	Mittelspannung	11
1143	Mittelspannung	2
1143	Umspannebene Hochspannung/Mittelspannung	2
1144	Mittelspannung	17
1145	Umspannebene Hochspannung/Mittelspannung	8
1146	Mittelspannung	8
1146	Umspannebene Hochspannung/Mittelspannung	6
1147	Umspannebene Hochspannung/Mittelspannung	9
1147	Hochspannung	8
1148	Mittelspannung	6
1149	Hochspannung	5
1150	Hochspannung	9
1151	Mittelspannung	31
1151	Hochspannung	18
1152	Mittelspannung	5
1153	Umspannebene Hochspannung/Mittelspannung	5
1153	Mittelspannung	1
1154	Mittelspannung	4
1155	Mittelspannung	4
1156	Mittelspannung	8
1157	Mittelspannung	13
1157	Umspannebene Hochspannung/Mittelspannung	6
1158	Hochspannung	12
1159	Mittelspannung	6
1160	Mittelspannung	5
1161	Hochspannung	4
1161	Mittelspannung	1
1162	Mittelspannung	6
1163	Mittelspannung	7
1164	Hochspannung	4
1165	Hochspannung	3
1165	Mittelspannung	3
1165	Umspannebene Hochspannung/Mittelspannung	2
1166	Hochspannung	37
1167	Mittelspannung	9
1168	Umspannebene Hochspannung/Mittelspannung	31
1168	Mittelspannung	23
1168	Hochspannung	2
1169	Mittelspannung	19
1170	Umspannebene Hochspannung/Mittelspannung	18
1171	Mittelspannung	4
1172	Hochspannung	30
1172	Mittelspannung	5
1173	Umspannebene Hochspannung/Mittelspannung	14
1173	Mittelspannung	3
1174	Mittelspannung	13
1175	Mittelspannung	8
1176	Mittelspannung	4
1177	Mittelspannung	6
1178	Mittelspannung	4
1178	Umspannebene Hochspannung/Mittelspannung	3
1179	Mittelspannung	3
1179	Hochspannung	1
1180	Mittelspannung	10
1181	Mittelspannung	15
1182	Hochspannung	4
1182	Mittelspannung	1
1182	Umspannebene Hochspannung/Mittelspannung	1
1183	Mittelspannung	9
1184	Mittelspannung	5
1185	Hochspannung	17
1186	Mittelspannung	12
1186	Umspannebene Hochspannung/Mittelspannung	11
1187	Mittelspannung	5
1188	Mittelspannung	5
1189	Umspannebene Hochspannung/Mittelspannung	7
1189	Mittelspannung	2
1190	Umspannebene Hochspannung/Mittelspannung	23
1190	Mittelspannung	16
1191	Hochspannung	36
1191	Mittelspannung	17
1192	Mittelspannung	11
1193	Mittelspannung	10
1194	Mittelspannung	15
1195	Mittelspannung	5
1196	Mittelspannung	6
1197	Mittelspannung	16
1198	Mittelspannung	6
1199	Hochspannung	13
1199	Mittelspannung	2
1200	Mittelspannung	8
1201	Mittelspannung	5
1201	Umspannebene Hochspannung/Mittelspannung	5
1202	Mittelspannung	4
1203	Mittelspannung	7
1204	Hochspannung	13
1204	Mittelspannung	6
1205	Hochspannung	70
1205	Mittelspannung	4
1206	Mittelspannung	5
1207	Mittelspannung	41
1208	Mittelspannung	10
1209	Umspannebene Hochspannung/Mittelspannung	4
1209	Mittelspannung	2
1210	Hochspannung	5
1211	Hochspannung	8
1211	Mittelspannung	4
1212	Hochspannung	46
1212	Mittelspannung	15
1213	Mittelspannung	5
1214	Mittelspannung	5
1215	Mittelspannung	6
1216	Mittelspannung	15
1217	Mittelspannung	6
1218	Mittelspannung	6
1219	Mittelspannung	5
1220	Mittelspannung	8
1221	Umspannebene Hochspannung/Mittelspannung	11
1222	Mittelspannung	5
1223	Mittelspannung	5
1224	Mittelspannung	12
1224	Umspannebene Hochspannung/Mittelspannung	6
1225	Mittelspannung	6
1225	Hochspannung	3
1225	Umspannebene Hochspannung/Mittelspannung	1
1226	Mittelspannung	14
1227	Hochspannung	5
1227	Mittelspannung	3
1227	Umspannebene Hochspannung/Mittelspannung	3
1228	Hochspannung	40
1229	Mittelspannung	4
1229	Umspannebene Hochspannung/Mittelspannung	1
1230	Mittelspannung	14
1230	Niederspannung	1
1230	Umspannebene Mittelspannung/Niederspannung	1
1231	Mittelspannung	4
1232	Mittelspannung	11
1233	Mittelspannung	15
1234	Mittelspannung	14
1235	Mittelspannung	8
1236	Mittelspannung	4
1237	Mittelspannung	6
1238	Mittelspannung	5
1239	Hochspannung	16
1239	Mittelspannung	1
1240	Mittelspannung	10
1241	Umspannebene Hochspannung/Mittelspannung	10
1241	Mittelspannung	8
1242	Mittelspannung	7
1243	Mittelspannung	6
1244	Mittelspannung	11
1245	Umspannebene Hochspannung/Mittelspannung	13
1245	Mittelspannung	5
1245	Hochspannung	1
1246	Hochspannung	3
1247	Hochspannung	6
1247	Umspannebene Hochspannung/Mittelspannung	1
1248	Umspannebene Hochspannung/Mittelspannung	3
1248	Mittelspannung	1
1249	Hochspannung	9
1250	Hochspannung	10
1250	Mittelspannung	7
1251	Hochspannung	20
1252	Mittelspannung	8
1253	Umspannebene Hochspannung/Mittelspannung	5
1254	Umspannebene Hochspannung/Mittelspannung	5
1254	Mittelspannung	1
1255	Umspannebene Hochspannung/Mittelspannung	8
1255	Mittelspannung	5
1256	Mittelspannung	7
1257	Hochspannung	10
1257	Mittelspannung	3
1257	Niederspannung	1
1258	Mittelspannung	8
1259	Hochspannung	21
1259	Mittelspannung	2
1260	Hochspannung	26
1260	Mittelspannung	6
1261	Mittelspannung	4
1262	Mittelspannung	7
1263	Mittelspannung	5
1264	Mittelspannung	15
1265	Hochspannung	10
1266	Mittelspannung	7
1267	Mittelspannung	7
1268	Hochspannung	21
1268	Mittelspannung	7
1268	Umspannebene Hochspannung/Mittelspannung	1
1269	Mittelspannung	24
1270	Mittelspannung	4
1271	Mittelspannung	7
1272	Hochspannung	11
1272	Umspannebene Hochspannung/Mittelspannung	3
1273	Mittelspannung	8
1273	Umspannebene Hochspannung/Mittelspannung	6
1274	Hochspannung	4
1275	Mittelspannung	7
1276	Mittelspannung	3
1276	Umspannebene Hochspannung/Mittelspannung	3
1277	Hochspannung	10
1277	Mittelspannung	2
1278	Hochspannung	4
1278	Mittelspannung	3
1279	Hochspannung	20
1279	Umspannebene Hochspannung/Mittelspannung	5
1279	Mittelspannung	1
1280	Mittelspannung	6
1281	Umspannebene Hochspannung/Mittelspannung	10
1281	Mittelspannung	4
1282	Hochspannung	18
1283	Hochspannung	18
1283	Mittelspannung	4
1284	Hochspannung	9
1284	Mittelspannung	1
1285	Hochspannung	14
1285	Mittelspannung	2
1286	Mittelspannung	6
1287	Hochspannung	9
1287	Mittelspannung	2
1288	Mittelspannung	7
1289	Hochspannung	4
1289	Umspannebene Hochspannung/Mittelspannung	2
1290	Hochspannung	7
1290	Umspannebene Hochspannung/Mittelspannung	4
